stop_id,stop_name,stop_lat,stop_lon,ada_tc
1,"Long Island City",40.74128,-73.95639,0
2,"Hunterspoint Avenue",40.74238,-73.94679,0
8,"Penn Station",40.75058,-73.99358,1
9,Woodside,40.74584,-73.90297,1
10,"Forest Hills",40.71957,-73.84481,0
11,"Kew Gardens",40.70964,-73.83089,0
12,"Atlantic Terminal",40.684901,-73.97768,1
13,"Nostrand Avenue",40.67838,-73.94822,0
14,"East New York",40.6758,-73.90281,0
15,Jamaica,40.6996,-73.80853,1
17,"Mets-Willets Point",40.75239,-73.8437,0
18,"Flushing Main Street",40.75789,-73.83135,0
19,"Murray Hill",40.7627,-73.81454,0
20,Broadway,40.76164,-73.80176,0
21,Auburndale,40.76143,-73.78996,0
22,Bayside,40.76314,-73.77125,0
23,Douglaston,40.76806,-73.74941,0
24,"Little Neck",40.77504,-73.74065,0
25,"Great Neck",40.78721,-73.7261,1
26,Manhasset,40.79672,-73.6999,0
27,Plandome,40.81069,-73.69521,0
28,"Port Washington",40.82903,-73.6874,1
30,Hollis,40.71017,-73.76675,0
31,"Queens Village",40.71745,-73.73646,1
32,Belmont,40.71549,-73.72862,0
33,Bellerose,40.7222,-73.71665,0
34,"Floral Park",40.72463,-73.7064,0
35,"Stewart Manor",40.72302,-73.68102,0
36,"Nassau Boulevard",40.72295,-73.6627,0
37,"Garden City",40.72309,-73.64036,0
38,"Country Life Press",40.72145,-73.62967,0
39,Hempstead,40.71329,-73.62503,1
40,"New Hyde Park",40.73075,-73.68096,0
41,"Merillon Avenue",40.73516,-73.66252,0
42,Mineola,40.74034,-73.64086,1
43,"East Williston",40.75601,-73.63941,0
44,Albertson,40.77205,-73.64169,0
45,Roslyn,40.79047,-73.64326,0
46,Greenvale,40.81571,-73.62687,0
47,"Glen Head",40.83222,-73.62612,0
48,"Sea Cliff",40.85236,-73.62542,0
49,"Glen Street",40.85797,-73.62122,0
50,"Glen Cove",40.86583,-73.61616,0
51,"Locust Valley",40.87446,-73.5983,0
53,"Oyster Bay",40.87533,-73.53403,0
54,"Carle Place",40.7492,-73.60365,0
55,Westbury,40.75345,-73.58586,0
56,Hicksville,40.76717,-73.52853,1
58,Syosset,40.82485,-73.50044,0
59,"Cold Spring Harbor",40.83563,-73.45108,0
60,Huntington,40.853,-73.40952,1
61,Greenlawn,40.86866,-73.36285,0
62,Northport,40.88064,-73.32848,1
63,"Kings Park",40.88366,-73.25625,0
64,Smithtown,40.85654,-73.19803,0
65,"St. James",40.88216,-73.15951,0
66,"Stony Brook",40.92031,-73.12855,0
67,"Port Jefferson",40.93454,-73.0525,1
68,Bethpage,40.74303,-73.48344,0
69,Farmingdale,40.73591,-73.44124,0
70,Pinelawn,40.74535,-73.3996,0
71,Wyandanch,40.75479,-73.35806,0
72,"Deer Park",40.76948,-73.29356,0
73,Brentwood,40.78083,-73.24361,0
74,"Central Islip",40.79184,-73.19486,0
75,Ronkonkoma,40.80808,-73.10594,1
77,Medford,40.81739,-72.99891,0
78,Yaphank,40.8256,-72.91588,0
79,Riverhead,40.91983,-72.66691,0
80,Mattituck,40.99179,-72.53606,0
81,Southold,41.0662,-72.4281,0
82,Greenport,41.0997,-72.3631,0
83,"St. Albans",40.69118,-73.76551,0
84,"Locust Manor",40.67513,-73.76504,0
85,Laurelton,40.66847,-73.75175,0
86,Rosedale,40.66594,-73.73555,0
87,"Valley Stream",40.66151,-73.70476,0
88,Westwood,40.66836,-73.68121,0
89,Malverne,40.67547,-73.66886,0
90,Lakeview,40.68585,-73.65214,0
91,"Hempstead Gardens",40.69491,-73.64621,0
92,"West Hempstead",40.70195,-73.64164,0
93,Gibson,40.64924,-73.70183,0
94,Hewlett,40.63676,-73.70514,0
95,Woodmere,40.63133,-73.71371,0
96,Cedarhurst,40.62217,-73.72618,0
97,Lawrence,40.61573,-73.7359,0
98,Inwood,40.61228,-73.74418,0
99,"Far Rockaway",40.60913,-73.75054,0
100,Lynbrook,40.65605,-73.67607,1
101,"Centre Avenue",40.64831,-73.66397,0
102,"East Rockaway",40.6422,-73.65821,0
103,Oceanside,40.63471,-73.65466,0
104,"Island Park",40.60129,-73.65474,0
105,"Long Beach",40.59017,-73.66482,1
106,"Rockville Centre",40.65831,-73.64655,1
107,Baldwin,40.65672,-73.60716,0
108,Freeport,40.65745,-73.58232,0
109,Merrick,40.66379,-73.55062,0
110,Bellmore,40.66879,-73.52886,0
111,Wantagh,40.67298,-73.50896,0
112,Seaford,40.67572,-73.48657,1
113,Massapequa,40.67692,-73.46905,0
114,"Massapequa Park",40.67785,-73.45474,0
115,Amityville,40.68024,-73.42031,0
116,Copiague,40.68101,-73.39834,0
117,Lindenhurst,40.68826,-73.36921,0
118,Babylon,40.70068,-73.32405,1
119,"Bay Shore",40.72443,-73.25408,0
120,Islip,40.73583,-73.20932,0
121,"Great River",40.74044,-73.17019,0
122,Oakdale,40.74342,-73.13243,0
123,Sayville,40.74035,-73.08645,0
124,Patchogue,40.76187,-73.01574,1
126,Bellport,40.77373,-72.94396,0
127,"Mastic Shirley",40.79898,-72.86442,0
129,Speonk,40.82117,-72.70427,0
130,Westhampton,40.8303,-72.65032,0
132,"Hampton Bays",40.8766,-72.52395,0
134,Southampton,40.89471,-72.39012,0
135,Bridgehampton,40.93898,-72.31005,0
136,"East Hampton",40.96508,-72.19324,0
137,Amagansett,40.98003,-72.13233,0
138,Montauk,41.0471,-71.95388,0
